@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
163,'2023/12/05 09:09:05:774',3,110,?,?
164,'2023/12/05 09:09:05:823',3,110,?,?
165,'2023/12/05 09:09:05:875',3,110,?,?
166,'2023/12/05 09:09:05:924',3,110,?,?
167,'2023/12/05 09:09:05:978',3,110,?,?
168,'2023/12/05 09:09:06:036',3,110,?,?
169,'2023/12/05 09:09:06:086',3,110,?,?
170,'2023/12/05 09:09:06:135',3,110,?,?
171,'2023/12/05 09:09:06:188',3,110,?,?
172,'2023/12/05 09:09:06:243',3,110,?,?
173,'2023/12/05 09:09:06:297',3,110,?,?
174,'2023/12/05 09:09:06:350',3,110,?,?
175,'2023/12/05 09:09:06:401',3,110,?,?
176,'2023/12/05 09:09:06:453',3,110,?,?
177,'2023/12/05 09:09:06:512',3,110,?,?
178,'2023/12/05 09:09:06:558',3,110,?,?
179,'2023/12/05 09:09:06:612',3,110,?,?
180,'2023/12/05 09:09:06:672',3,110,?,?
181,'2023/12/05 09:09:06:727',3,110,?,?
182,'2023/12/05 09:09:06:779',3,110,?,?
183,'2023/12/05 09:09:06:827',3,110,?,?
184,'2023/12/05 09:09:06:877',3,110,?,?
185,'2023/12/05 09:09:06:927',3,110,?,?
186,'2023/12/05 09:09:06:983',3,110,?,?
187,'2023/12/05 09:09:07:034',3,110,?,?
188,'2023/12/05 09:09:07:092',3,110,?,?
189,'2023/12/05 09:09:07:141',3,110,?,?
190,'2023/12/05 09:09:07:210',3,110,?,?
191,'2023/12/05 09:09:07:267',3,110,?,?
192,'2023/12/05 09:09:07:333',3,110,?,?
193,'2023/12/05 09:09:07:388',3,110,?,?
194,'2023/12/05 09:09:07:442',3,110,?,?
195,'2023/12/05 09:09:07:488',3,110,?,?
196,'2023/12/05 09:09:07:540',3,110,?,?
197,'2023/12/05 09:09:07:590',3,110,?,?
198,'2023/12/05 09:09:07:646',3,110,?,?
199,'2023/12/05 09:09:07:697',3,110,?,?
200,'2023/12/05 09:09:07:752',3,110,?,?
201,'2023/12/05 09:09:07:805',3,110,?,?
202,'2023/12/05 09:09:07:860',3,110,?,?
203,'2023/12/05 09:09:07:910',3,110,?,?
204,'2023/12/05 09:09:07:965',3,110,?,?
205,'2023/12/05 09:09:08:017',3,110,?,?
206,'2023/12/05 09:09:08:066',3,110,?,?
207,'2023/12/05 09:09:08:124',3,110,?,?
208,'2023/12/05 09:09:08:179',3,110,?,?
209,'2023/12/05 09:09:08:251',3,110,?,?
210,'2023/12/05 09:09:08:301',3,110,?,?
211,'2023/12/05 09:09:08:351',3,110,?,?
212,'2023/12/05 09:09:08:402',3,110,?,?
213,'2023/12/05 09:09:22:081',4,20,?,?
214,'2023/12/05 09:09:22:139',4,20,?,?
215,'2023/12/05 09:09:22:188',4,20,?,?
216,'2023/12/05 09:09:22:248',4,20,?,?
217,'2023/12/05 09:09:22:306',4,20,?,?
218,'2023/12/05 09:09:22:357',4,20,?,?
219,'2023/12/05 09:09:22:406',4,20,?,?
220,'2023/12/05 09:09:22:472',4,20,?,?
221,'2023/12/05 09:09:22:525',4,20,?,?
222,'2023/12/05 09:09:22:575',4,20,?,?
223,'2023/12/05 09:09:22:629',4,20,?,?
224,'2023/12/05 09:09:22:682',4,20,?,?
225,'2023/12/05 09:09:22:741',4,20,?,?
226,'2023/12/05 09:09:22:800',4,20,?,?
227,'2023/12/05 09:09:22:849',4,20,?,?
228,'2023/12/05 09:09:22:902',4,20,?,?
229,'2023/12/05 09:09:22:955',4,20,?,?
230,'2023/12/05 09:09:23:008',4,20,?,?
231,'2023/12/05 09:09:23:059',4,20,?,?
232,'2023/12/05 09:09:23:114',4,20,?,?
233,'2023/12/05 09:09:23:174',4,20,?,?
234,'2023/12/05 09:09:23:227',4,20,?,?
235,'2023/12/05 09:09:23:279',4,20,?,?
236,'2023/12/05 09:09:23:337',4,20,?,?
237,'2023/12/05 09:09:23:387',4,20,?,?
238,'2023/12/05 09:09:23:439',4,20,?,?
239,'2023/12/05 09:09:23:496',4,20,?,?
240,'2023/12/05 09:09:23:556',4,20,?,?
241,'2023/12/05 09:09:23:615',4,20,?,?
242,'2023/12/05 09:09:23:671',4,20,?,?
243,'2023/12/05 09:09:23:726',4,20,?,?
244,'2023/12/05 09:09:23:782',4,20,?,?
245,'2023/12/05 09:09:23:832',4,20,?,?
246,'2023/12/05 09:09:23:883',4,20,?,?
247,'2023/12/05 09:09:23:936',4,20,?,?
248,'2023/12/05 09:09:23:988',4,20,?,?
249,'2023/12/05 09:09:24:052',4,20,?,?
250,'2023/12/05 09:09:24:101',4,20,?,?
251,'2023/12/05 09:09:24:155',4,20,?,?
252,'2023/12/05 09:09:24:206',4,20,?,?
253,'2023/12/05 09:09:24:261',4,20,?,?
254,'2023/12/05 09:09:24:310',4,20,?,?
255,'2023/12/05 09:09:24:366',4,20,?,?
256,'2023/12/05 09:09:24:419',4,20,?,?
257,'2023/12/05 09:09:24:473',4,20,?,?
258,'2023/12/05 09:09:24:524',4,20,?,?
259,'2023/12/05 09:09:24:584',4,20,?,?
260,'2023/12/05 09:09:24:634',4,20,?,?
261,'2023/12/05 09:09:24:685',4,20,?,?
262,'2023/12/05 09:09:24:740',4,20,?,?
263,'2023/12/05 09:09:24:792',4,20,?,?
264,'2023/12/05 09:09:24:843',4,20,?,?
265,'2023/12/05 09:09:24:898',4,20,?,?
266,'2023/12/05 09:09:24:949',4,20,?,?
267,'2023/12/05 09:09:25:003',4,20,?,?
268,'2023/12/05 09:09:25:055',4,20,?,?
269,'2023/12/05 09:09:25:113',4,20,?,?
270,'2023/12/05 09:09:25:171',4,20,?,?
271,'2023/12/05 09:09:25:221',4,20,?,?
272,'2023/12/05 09:09:25:276',4,20,?,?
273,'2023/12/05 09:09:25:329',4,20,?,?
274,'2023/12/05 09:09:25:382',4,20,?,?
275,'2023/12/05 09:09:25:435',4,20,?,?
276,'2023/12/05 09:09:25:487',4,20,?,?
277,'2023/12/05 09:09:25:540',4,20,?,?
278,'2023/12/05 09:09:25:590',4,20,?,?
279,'2023/12/05 09:09:25:643',4,20,?,?
280,'2023/12/05 09:09:25:700',4,20,?,?
281,'2023/12/05 09:09:25:754',4,20,?,?
282,'2023/12/05 09:09:25:807',4,20,?,?
283,'2023/12/05 09:09:25:869',4,20,?,?
284,'2023/12/05 09:09:25:929',4,20,?,?
285,'2023/12/05 09:09:25:985',4,20,?,?
286,'2023/12/05 09:09:26:037',4,20,?,?
287,'2023/12/05 09:09:26:089',4,20,?,?
288,'2023/12/05 09:09:26:140',4,20,?,?
289,'2023/12/05 09:09:26:192',4,20,?,?
290,'2023/12/05 09:09:26:246',4,20,?,?
291,'2023/12/05 09:09:26:297',4,20,?,?
292,'2023/12/05 09:09:26:349',4,20,?,?
293,'2023/12/05 09:09:26:404',4,20,?,?
294,'2023/12/05 09:09:26:460',4,20,?,?
295,'2023/12/05 09:09:26:513',4,20,?,?
296,'2023/12/05 09:09:26:574',4,20,?,?
297,'2023/12/05 09:09:26:635',4,20,?,?
298,'2023/12/05 09:09:26:683',4,20,?,?
299,'2023/12/05 09:09:26:747',4,20,?,?
300,'2023/12/05 09:09:26:819',4,20,?,?
301,'2023/12/05 09:09:26:873',4,20,?,?
302,'2023/12/05 09:09:26:922',4,20,?,?
303,'2023/12/05 09:09:26:985',4,20,?,?
304,'2023/12/05 09:09:27:037',4,20,?,?
305,'2023/12/05 09:09:27:101',4,20,?,?
306,'2023/12/05 09:09:27:162',4,20,?,?
307,'2023/12/05 09:09:27:229',4,20,?,?
308,'2023/12/05 09:09:27:278',4,20,?,?
309,'2023/12/05 09:09:27:336',4,20,?,?
310,'2023/12/05 09:09:27:393',4,20,?,?
311,'2023/12/05 09:09:27:444',4,20,?,?
312,'2023/12/05 09:09:27:495',4,20,?,?
313,'2023/12/05 09:09:27:550',4,20,?,?
314,'2023/12/05 09:09:27:603',4,20,?,?
315,'2023/12/05 09:09:27:658',4,20,?,?
316,'2023/12/05 09:09:27:709',4,20,?,?
317,'2023/12/05 09:09:27:762',4,20,?,?
318,'2023/12/05 09:09:27:813',4,20,?,?
319,'2023/12/05 09:09:27:868',4,20,?,?
320,'2023/12/05 09:09:27:927',4,20,?,?
321,'2023/12/05 09:09:27:985',4,20,?,?
322,'2023/12/05 09:09:28:040',4,20,?,?
323,'2023/12/05 09:09:28:096',4,20,?,?
324,'2023/12/05 09:09:28:147',4,20,?,?
325,'2023/12/05 09:09:28:204',4,20,?,?
326,'2023/12/05 09:09:28:264',4,20,?,?
327,'2023/12/05 09:09:28:319',4,20,?,?
328,'2023/12/05 09:09:28:372',4,20,?,?
329,'2023/12/05 09:09:42:746',5,-95,?,?
330,'2023/12/05 09:09:42:802',5,-95,?,?
331,'2023/12/05 09:09:42:853',5,-95,?,?
332,'2023/12/05 09:09:42:910',5,-95,?,?
333,'2023/12/05 09:09:42:970',5,-95,?,?
334,'2023/12/05 09:09:43:017',5,-95,?,?
335,'2023/12/05 09:09:43:068',5,-95,?,?
336,'2023/12/05 09:09:43:133',5,-95,?,?
337,'2023/12/05 09:09:43:186',5,-95,?,?
338,'2023/12/05 09:09:43:237',5,-95,?,?
339,'2023/12/05 09:09:43:291',5,-95,?,?
340,'2023/12/05 09:09:43:350',5,-95,?,?
341,'2023/12/05 09:09:43:399',5,-95,?,?
342,'2023/12/05 09:09:43:451',5,-95,?,?
343,'2023/12/05 09:09:43:512',5,-95,?,?
344,'2023/12/05 09:09:43:563',5,-95,?,?
345,'2023/12/05 09:09:43:615',5,-95,?,?
346,'2023/12/05 09:09:43:669',5,-95,?,?
347,'2023/12/05 09:09:43:726',5,-95,?,?
348,'2023/12/05 09:09:43:778',5,-95,?,?
349,'2023/12/05 09:09:43:839',5,-95,?,?
350,'2023/12/05 09:09:43:896',5,-95,?,?
351,'2023/12/05 09:09:43:947',5,-95,?,?
352,'2023/12/05 09:09:44:004',5,-95,?,?
353,'2023/12/05 09:09:44:064',5,-95,?,?
354,'2023/12/05 09:09:44:111',5,-95,?,?
355,'2023/12/05 09:09:44:167',5,-95,?,?
356,'2023/12/05 09:09:44:214',5,-95,?,?
357,'2023/12/05 09:09:44:266',5,-95,?,?
358,'2023/12/05 09:09:44:319',5,-95,?,?
359,'2023/12/05 09:09:44:369',5,-95,?,?
360,'2023/12/05 09:09:44:419',5,-95,?,?
361,'2023/12/05 09:09:44:467',5,-95,?,?
362,'2023/12/05 09:09:44:519',5,-95,?,?
363,'2023/12/05 09:09:44:569',5,-95,?,?
364,'2023/12/05 09:09:44:619',5,-95,?,?
365,'2023/12/05 09:09:44:668',5,-95,?,?
366,'2023/12/05 09:09:44:719',5,-95,?,?
367,'2023/12/05 09:09:44:770',5,-95,?,?
368,'2023/12/05 09:09:44:826',5,-95,?,?
369,'2023/12/05 09:09:44:882',5,-95,?,?
370,'2023/12/05 09:09:44:932',5,-95,?,?
371,'2023/12/05 09:09:44:984',5,-95,?,?
372,'2023/12/05 09:09:45:039',5,-95,?,?
373,'2023/12/05 09:09:45:085',5,-95,?,?
374,'2023/12/05 09:09:45:142',5,-95,?,?
375,'2023/12/05 09:09:45:194',5,-95,?,?
376,'2023/12/05 09:09:45:252',5,-95,?,?
377,'2023/12/05 09:09:45:308',5,-95,?,?
378,'2023/12/05 09:09:45:358',5,-95,?,?
379,'2023/12/05 09:09:45:413',5,-95,?,?
380,'2023/12/05 09:09:45:464',5,-95,?,?
381,'2023/12/05 09:09:45:520',5,-95,?,?
382,'2023/12/05 09:09:45:574',5,-95,?,?
383,'2023/12/05 09:09:45:626',5,-95,?,?
384,'2023/12/05 09:09:45:676',5,-95,?,?
385,'2023/12/05 09:09:45:730',5,-95,?,?
386,'2023/12/05 09:09:45:784',5,-95,?,?
387,'2023/12/05 09:09:45:845',5,-95,?,?
388,'2023/12/05 09:09:45:890',5,-95,?,?
389,'2023/12/05 09:09:45:950',5,-95,?,?
390,'2023/12/05 09:09:46:001',5,-95,?,?
391,'2023/12/05 09:09:46:053',5,-95,?,?
392,'2023/12/05 09:09:46:111',5,-95,?,?
393,'2023/12/05 09:09:46:157',5,-95,?,?
394,'2023/12/05 09:09:46:213',5,-95,?,?
395,'2023/12/05 09:09:46:260',5,-95,?,?
396,'2023/12/05 09:09:46:321',5,-95,?,?
397,'2023/12/05 09:09:46:378',5,-95,?,?
398,'2023/12/05 09:09:46:429',5,-95,?,?
399,'2023/12/05 09:09:46:481',5,-95,?,?
400,'2023/12/05 09:09:46:532',5,-95,?,?
401,'2023/12/05 09:09:46:587',5,-95,?,?
402,'2023/12/05 09:09:46:643',5,-95,?,?
403,'2023/12/05 09:09:46:695',5,-95,?,?
404,'2023/12/05 09:09:46:744',5,-95,?,?
405,'2023/12/05 09:09:46:799',5,-95,?,?
406,'2023/12/05 09:09:46:855',5,-95,?,?
407,'2023/12/05 09:09:46:909',5,-95,?,?
408,'2023/12/05 09:09:57:715',6,-200,?,?
409,'2023/12/05 09:09:57:766',6,-200,?,?
410,'2023/12/05 09:09:57:820',6,-200,?,?
411,'2023/12/05 09:09:57:873',6,-200,?,?
412,'2023/12/05 09:09:57:924',6,-200,?,?
413,'2023/12/05 09:09:57:977',6,-200,?,?
414,'2023/12/05 09:09:58:036',6,-200,?,?
415,'2023/12/05 09:09:58:081',6,-200,?,?
416,'2023/12/05 09:09:58:130',6,-200,?,?
417,'2023/12/05 09:09:58:179',6,-200,?,?
418,'2023/12/05 09:09:58:235',6,-200,?,?
419,'2023/12/05 09:09:58:296',6,-200,?,?
420,'2023/12/05 09:09:58:347',6,-200,?,?
421,'2023/12/05 09:09:58:396',6,-200,?,?
422,'2023/12/05 09:09:58:447',6,-200,?,?
423,'2023/12/05 09:09:58:498',6,-200,?,?
424,'2023/12/05 09:09:58:551',6,-200,?,?
425,'2023/12/05 09:09:58:610',6,-200,?,?
426,'2023/12/05 09:09:58:668',6,-200,?,?
427,'2023/12/05 09:09:58:727',6,-200,?,?
428,'2023/12/05 09:09:58:789',6,-200,?,?
429,'2023/12/05 09:09:58:846',6,-200,?,?
430,'2023/12/05 09:09:58:913',6,-200,?,?
431,'2023/12/05 09:09:58:960',6,-200,?,?
432,'2023/12/05 09:09:59:013',6,-200,?,?
433,'2023/12/05 09:09:59:063',6,-200,?,?
434,'2023/12/05 09:09:59:126',6,-200,?,?
435,'2023/12/05 09:09:59:177',6,-200,?,?
436,'2023/12/05 09:09:59:230',6,-200,?,?
437,'2023/12/05 09:09:59:285',6,-200,?,?
438,'2023/12/05 09:09:59:333',6,-200,?,?
439,'2023/12/05 09:09:59:389',6,-200,?,?
440,'2023/12/05 09:09:59:446',6,-200,?,?
